,OAA,OZA,SAA,SCDA_final,SZA,r_TOA_01,r_TOA_02,r_TOA_03,r_TOA_04,r_TOA_05,r_TOA_06,r_TOA_07,r_TOA_08,r_TOA_09,r_TOA_10,r_TOA_11,r_TOA_12,r_TOA_13,r_TOA_14,r_TOA_15,r_TOA_16,r_TOA_17,r_TOA_18,r_TOA_19,r_TOA_20,r_TOA_21,r_TOA_S1,r_TOA_S5,r_TOA_S5_rc
Swiss Camp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crawford Pt. 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NASA-U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GITS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Humboldt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Summit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tunu-N,127.9033,12.050319,-174.26047,,63.91736,0.9336,0.9357,0.9391,0.9319,0.912,0.8532,0.8412,0.8812,0.8867,0.8902,0.8705,0.8741,0.2482,0.4387,0.7699,0.8485,0.8139,0.7846,0.622,0.324,0.6188,0.8634,0.0514,0.057568
DYE-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAR1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saddle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Dome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NASA-E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGRIP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NASA-SE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAR2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAR3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Petermann Gl.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Petermann ELA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KPC_L,112.86715,37.675987,169.37706,,65.891396,0.4144,0.4028,0.378,0.3476,0.3356,0.3121,0.3146,0.3344,0.337,0.3385,0.3316,0.3348,0.0739,0.1497,0.2922,0.3232,0.3087,0.2936,0.2108,0.0812,0.2194,0.6257,0.0099,0.011088
KPC_U,111.8146,38.579155,168.2107,,65.85292,0.8114,0.8117,0.8075,0.7918,0.7699,0.7035,0.6801,0.7111,0.7154,0.7158,0.6959,0.6926,0.141,0.278,0.5803,0.6658,0.6369,0.6131,0.4697,0.2284,0.4802,0.7183,0.0295,0.033040002
SCO_L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCO_U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIT,102.76971,34.954273,152.30525,,53.742737,0.4414,0.4363,0.4249,0.4124,0.4003,0.3773,0.3662,0.3734,0.3751,0.3733,0.343,0.3395,0.0847,0.1574,0.2902,0.3158,0.2802,0.2527,0.1505,0.0339,0.141,0.4221,0.0129,0.014448
TAS_L,101.8234,37.58965,151.04103,,53.908245,0.4568,0.4489,0.4313,0.413,0.3943,0.3593,0.344,0.3546,0.3588,0.3578,0.3306,0.3351,0.0852,0.1575,0.2869,0.3105,0.2734,0.2423,0.1398,0.0294,0.1146,0.3213,0.0088,0.009856
TAS_U,101.84374,37.57445,151.10042,,53.954815,0.4954,0.4893,0.4736,0.4532,0.4363,0.3959,0.3729,0.3806,0.3829,0.3824,0.3498,0.342,0.0899,0.1629,0.2937,0.3136,0.2707,0.2398,0.1415,0.0315,0.1133,0.4569,0.0069,0.007728
TAS_A,101.78669,37.781258,151.06543,,54.02909,0.5385,0.5322,0.5155,0.4958,0.478,0.4334,0.4113,0.4145,0.415,0.4143,0.3769,0.3485,0.0937,0.1681,0.2949,0.3099,0.2526,0.2151,0.1281,0.0294,0.0921,0.4615,0.0065,0.00728
QAS_L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QAS_M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QAS_U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NUK_L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NUK_U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NUK_N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NUK_K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KAN_B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KAN_L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KAN_M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KAN_U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UPE_L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UPE_U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THU_L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THU_U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EGP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THU_U2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
