,OAA,OZA,SAA,SCDA_final,SZA,r_TOA_01,r_TOA_02,r_TOA_03,r_TOA_04,r_TOA_05,r_TOA_06,r_TOA_07,r_TOA_08,r_TOA_09,r_TOA_10,r_TOA_11,r_TOA_12,r_TOA_13,r_TOA_14,r_TOA_15,r_TOA_16,r_TOA_17,r_TOA_18,r_TOA_19,r_TOA_20,r_TOA_21,r_TOA_S1,r_TOA_S5,r_TOA_S5_rc
Swiss Camp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crawford Pt. 1,-62.595634,1.8132513,172.56425,,54.655697,0.9692,0.9681,0.972,0.9638,0.9435,0.8804,0.8659,0.9046,0.9088,0.9102,0.9,0.8963,0.2784,0.4848,0.7996,0.8717,0.8467,0.8202,0.6966,0.4406,0.6685,0.8919,0.0672,0.075264
NASA-U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GITS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Humboldt,131.06326,10.288756,-170.87526,,63.311028,0.9223,0.9243,0.9258,0.9163,0.8967,0.8288,0.8091,0.8489,0.8548,0.8568,0.8479,0.8383,0.2341,0.4107,0.7271,0.8078,0.7727,0.743,0.6505,0.4519,0.5716,0.8415,0.0502,0.056224
Summit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tunu-N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DYE-2,-61.460457,17.553698,173.32358,,51.23024,0.964,0.9646,0.9687,0.9627,0.9426,0.8867,0.8754,0.9179,0.9239,0.9267,0.9133,0.921,0.2935,0.5037,0.8292,0.8985,0.8759,0.8533,0.6883,0.3733,0.7053,0.9025,0.076,0.08512
JAR1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saddle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Dome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NASA-E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGRIP,121.23993,9.979293,177.75287,,59.736298,0.943,0.9434,0.9428,0.9283,0.9067,0.8439,0.8311,0.8723,0.88,0.8827,0.8799,0.8753,0.287,0.4761,0.7833,0.8541,0.8293,0.8075,0.7332,0.5536,0.6692,0.8548,0.0777,0.087023996
NASA-SE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAR2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAR3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Petermann Gl.,127.766685,24.560741,-174.45087,,65.28937,0.6946,0.6974,0.7082,0.7082,0.6897,0.6304,0.5908,0.6051,0.6089,0.6065,0.5698,0.5294,0.1011,0.1927,0.4263,0.4921,0.4322,0.3911,0.2757,0.1006,0.2071,0.6259,0.0089,0.0099679995
Petermann ELA,129.66599,20.163834,-172.39769,,64.82039,0.8122,0.8127,0.8129,0.7993,0.7794,0.7081,0.6776,0.7024,0.709,0.708,0.6842,0.662,0.1647,0.3317,0.5872,0.6296,0.5858,0.5484,0.4256,0.2156,0.3517,0.714,0.0127,0.014224
NEEM,112.54505,32.56554,168.18532,,62.317585,0.9558,0.9552,0.9508,0.9299,0.9068,0.8376,0.822,0.8654,0.8708,0.8746,0.871,0.8614,0.246,0.4419,0.7698,0.8338,0.8012,0.7701,0.692,0.5036,0.6082,0.8502,0.0627,0.070224
KPC_L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KPC_U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCO_L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCO_U,112.08882,21.086235,166.31151,,57.43227,0.5157,0.5159,0.5136,0.5093,0.5003,0.4633,0.4535,0.4797,0.4834,0.4861,0.483,0.4615,0.1283,0.2438,0.4107,0.4351,0.3893,0.3529,0.2866,0.1579,0.1796,0.4701,0.0066,0.007392
MIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAS_L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAS_U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAS_A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QAS_L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QAS_M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QAS_U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NUK_L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NUK_U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NUK_N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NUK_K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KAN_B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KAN_L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KAN_M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KAN_U,-62.18134,13.2809925,172.41025,,51.788937,0.9645,0.965,0.9744,0.9716,0.9506,0.8945,0.8858,0.9274,0.9337,0.9349,0.9241,0.9258,0.298,0.5196,0.8437,0.9039,0.8816,0.858,0.7089,0.4138,0.7028,0.9083,0.0745,0.083440006
UPE_L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UPE_U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THU_L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THU_U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EGP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THU_U2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
