,OAA,OZA,SAA,SCDA_final,SZA,r_TOA_01,r_TOA_02,r_TOA_03,r_TOA_04,r_TOA_05,r_TOA_06,r_TOA_07,r_TOA_08,r_TOA_09,r_TOA_10,r_TOA_11,r_TOA_12,r_TOA_13,r_TOA_14,r_TOA_15,r_TOA_16,r_TOA_17,r_TOA_18,r_TOA_19,r_TOA_20,r_TOA_21,r_TOA_S1,r_TOA_S5,r_TOA_S5_rc
Swiss Camp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crawford Pt. 1,105.53183,32.125122,157.56659,,56.381042,0.9923,0.9943,0.9917,0.9811,0.9577,0.8961,0.8855,0.9357,0.945,0.9478,0.9257,0.9435,0.2654,0.4712,0.8422,0.9272,0.9066,0.8879,0.6862,0.3531,0.7561,0.9031,0.1078,0.120736
NASA-U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GITS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Humboldt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Summit,112.91864,19.58361,167.5103,,58.14862,0.9636,0.9619,0.9594,0.9428,0.9214,0.8561,0.8477,0.8986,0.9051,0.9084,0.9094,0.9109,0.3238,0.5536,0.8487,0.8948,0.8796,0.8592,0.7593,0.525,0.7371,0.8747,0.1137,0.127344
Tunu-N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DYE-2,106.78274,23.482254,157.72966,,53.097603,0.9743,0.9728,0.9722,0.9558,0.9337,0.8765,0.8614,0.8968,0.9057,0.9063,0.8859,0.8995,0.2549,0.438,0.7794,0.8765,0.8531,0.8285,0.6489,0.3258,0.6807,0.8875,0.0679,0.076048
JAR1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saddle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Dome,108.579865,10.378696,158.77922,,49.749416,1.0028,1.0043,1.0042,0.9947,0.9744,0.9193,0.9074,0.9457,0.9514,0.9539,0.9382,0.9425,0.334,0.5311,0.841,0.9162,0.8858,0.8574,0.7102,0.4281,0.6915,0.9287,0.0765,0.08568
NASA-E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGRIP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NASA-SE,110.16317,11.845936,162.22151,,52.589195,0.9981,0.9981,0.997,0.9869,0.9669,0.9103,0.9012,0.9428,0.9491,0.9512,0.9393,0.9434,0.3091,0.5179,0.8455,0.9216,0.8973,0.8731,0.7324,0.4453,0.7206,0.9286,0.0825,0.09240001
JAR2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAR3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Petermann Gl.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Petermann ELA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KPC_L,125.529076,23.95919,-176.87434,,65.140366,0.3142,0.2993,0.2678,0.2312,0.2179,0.1957,0.1945,0.2048,0.206,0.2067,0.2055,0.2172,0.0476,0.0868,0.1829,0.2168,0.2211,0.2191,0.1665,0.0732,0.232,0.5695,0.0169,0.018927999
KPC_U,124.47514,24.838625,-178.03635,,65.05736,0.7883,0.7863,0.7872,0.7791,0.7567,0.7001,0.6775,0.7106,0.7179,0.7181,0.6994,0.6973,0.1478,0.2797,0.5813,0.6756,0.6538,0.6307,0.4888,0.2368,0.5183,0.7231,0.0375,0.042000003
