,OAA,OZA,SAA,SCDA_final,SZA,r_TOA_01,r_TOA_02,r_TOA_03,r_TOA_04,r_TOA_05,r_TOA_06,r_TOA_07,r_TOA_08,r_TOA_09,r_TOA_10,r_TOA_11,r_TOA_12,r_TOA_13,r_TOA_14,r_TOA_15,r_TOA_16,r_TOA_17,r_TOA_18,r_TOA_19,r_TOA_20,r_TOA_21,r_TOA_S1,r_TOA_S5,r_TOA_S5_rc
Swiss Camp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crawford Pt. 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NASA-U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GITS,131.87779,0.680046,-169.1362,,62.915474,0.9275,0.9286,0.9336,0.9255,0.9057,0.8443,0.8399,0.891,0.8975,0.9033,0.8993,0.9031,0.2603,0.4724,0.8092,0.8864,0.8669,0.8445,0.7102,0.4338,0.6917,0.8592,0.0382,0.042783998
Humboldt,112.2144,35.40404,168.26585,,64.287445,0.9451,0.9432,0.9354,0.9135,0.8876,0.8139,0.8012,0.857,0.8659,0.8705,0.8651,0.8753,0.2301,0.4353,0.7892,0.8628,0.8507,0.8332,0.6783,0.3744,0.734,0.8278,0.1105,0.12376
Summit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tunu-N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DYE-2,100.90015,40.502293,150.17975,,54.52587,0.9816,0.978,0.9699,0.9504,0.9264,0.8658,0.8466,0.8845,0.893,0.895,0.863,0.8838,0.2463,0.4388,0.7775,0.8578,0.8287,0.7987,0.5769,0.2281,0.6176,0.8714,0.0456,0.051072
JAR1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saddle,102.578636,35.73556,152.1015,,53.763702,0.973,0.973,0.9646,0.9457,0.9225,0.861,0.8479,0.8896,0.897,0.8976,0.8845,0.8924,0.2818,0.4849,0.8077,0.8718,0.8492,0.8262,0.6702,0.375,0.6787,0.8762,0.0585,0.065519996
