,OAA,OZA,SAA,SCDA_final,SZA,r_TOA_01,r_TOA_02,r_TOA_03,r_TOA_04,r_TOA_05,r_TOA_06,r_TOA_07,r_TOA_08,r_TOA_09,r_TOA_10,r_TOA_11,r_TOA_12,r_TOA_13,r_TOA_14,r_TOA_15,r_TOA_16,r_TOA_17,r_TOA_18,r_TOA_19,r_TOA_20,r_TOA_21,r_TOA_S1,r_TOA_S5,r_TOA_S5_rc
Swiss Camp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crawford Pt. 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NASA-U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GITS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Humboldt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Summit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tunu-N,132.37643,5.5944057,-168.94452,,66.32973,0.8805,0.8797,0.8777,0.868,0.8465,0.7839,0.7717,0.8156,0.8208,0.8222,0.809,0.8133,0.2296,0.4335,0.7322,0.7905,0.7662,0.7419,0.5901,0.3081,0.6143,0.7818,0.0566,0.063392
DYE-2,99.22515,44.50733,149.18437,,57.322998,0.9655,0.9625,0.9554,0.932,0.906,0.835,0.8028,0.8251,0.8307,0.8311,0.7999,0.7831,0.2154,0.3926,0.6904,0.7404,0.685,0.6413,0.4853,0.2274,0.4101,0.849,0.0154,0.017248
JAR1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saddle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Dome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NASA-E,112.58409,26.653484,168.42543,,63.35569,0.9602,0.96,0.9609,0.947,0.9241,0.8656,0.8547,0.8976,0.9053,0.9093,0.8956,0.9036,0.2502,0.442,0.7968,0.8833,0.8624,0.8349,0.6771,0.369,0.6981,0.8682,0.0667,0.074704
NGRIP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NASA-SE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAR2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAR3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Petermann Gl.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Petermann ELA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KPC_L,117.399216,32.950645,174.76881,,68.030594,0.3829,0.3707,0.3434,0.3106,0.297,0.2736,0.2717,0.287,0.2897,0.2907,0.2849,0.2937,0.0617,0.1213,0.2521,0.2857,0.2801,0.2721,0.1981,0.0826,0.2321,0.5851,0.0151,0.016912
KPC_U,116.34326,33.87663,173.6104,,67.97708,0.7747,0.776,0.7732,0.7615,0.7389,0.675,0.6485,0.6748,0.6803,0.6801,0.6559,0.6432,0.1367,0.2722,0.552,0.6116,0.571,0.5355,0.403,0.1847,0.3616,0.6971,0.0166,0.018592
SCO_L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCO_U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAS_L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAS_U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAS_A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QAS_L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QAS_M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QAS_U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NUK_L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NUK_U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NUK_N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NUK_K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KAN_B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KAN_L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KAN_M,-60.458538,18.51207,175.581,,55.23158,0.4589,0.4578,0.4549,0.4466,0.4348,0.3977,0.3802,0.3911,0.3932,0.3934,0.3776,0.3547,0.0963,0.1741,0.3049,0.3299,0.2936,0.2674,0.1932,0.0792,0.1431,0.3602,0.0069,0.007728
KAN_U,-58.821026,23.591413,177.70691,,55.121464,0.9087,0.9137,0.9246,0.9278,0.9084,0.8523,0.8268,0.8494,0.8533,0.8546,0.8189,0.799,0.2213,0.3873,0.6879,0.7571,0.6995,0.6551,0.4918,0.2238,0.424,0.876,0.018,0.020159999
UPE_L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UPE_U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THU_L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THU_U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EGP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THU_U2,124.111305,10.245402,-178.20761,,64.523705,0.7193,0.7184,0.7171,0.7079,0.6884,0.6393,0.6234,0.6535,0.6585,0.6598,0.6416,0.6371,0.1855,0.3158,0.5577,0.6148,0.5854,0.5622,0.4648,0.2883,0.4581,0.6378,0.1274,0.14268799
