,OAA,OZA,SAA,SCDA_final,SZA,r_TOA_01,r_TOA_02,r_TOA_03,r_TOA_04,r_TOA_05,r_TOA_06,r_TOA_07,r_TOA_08,r_TOA_09,r_TOA_10,r_TOA_11,r_TOA_12,r_TOA_13,r_TOA_14,r_TOA_15,r_TOA_16,r_TOA_17,r_TOA_18,r_TOA_19,r_TOA_20,r_TOA_21,r_TOA_S1,r_TOA_S5,r_TOA_S5_rc
Swiss Camp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crawford Pt. 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NASA-U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GITS,119.12904,21.771639,176.11316,,64.627365,0.8969,0.8972,0.8981,0.8882,0.8677,0.8095,0.8022,0.8535,0.8625,0.8621,0.857,0.8652,0.2397,0.4668,0.7907,0.846,0.8293,0.8066,0.6633,0.3838,0.6872,0.8268,0.077,0.08624
Humboldt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Summit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tunu-N,120.7628,22.510061,178.04073,,65.45863,0.9209,0.9254,0.9247,0.9114,0.8879,0.8268,0.8134,0.858,0.8646,0.8698,0.8518,0.8639,0.2119,0.3794,0.7347,0.8382,0.8153,0.7937,0.6301,0.3298,0.6626,0.846,0.0831,0.093072
DYE-2,110.986664,8.947092,164.04636,,54.644875,0.9379,0.9422,0.9502,0.9457,0.9255,0.8668,0.8377,0.8532,0.8583,0.8568,0.8206,0.7952,0.2416,0.4037,0.6811,0.7426,0.6751,0.6221,0.4701,0.2262,0.3517,0.8838,0.0151,0.016912
JAR1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saddle,112.70799,1.5900155,166.08331,,54.001423,0.9668,0.9673,0.9626,0.9546,0.9323,0.8694,0.8407,0.858,0.861,0.8593,0.8335,0.808,0.2728,0.4588,0.7245,0.7609,0.7038,0.657,0.5352,0.3129,0.4176,0.8889,0.0114,0.012768
