,OAA,OZA,SAA,SCDA_final,SZA,r_TOA_01,r_TOA_02,r_TOA_03,r_TOA_04,r_TOA_05,r_TOA_06,r_TOA_07,r_TOA_08,r_TOA_09,r_TOA_10,r_TOA_11,r_TOA_12,r_TOA_13,r_TOA_14,r_TOA_15,r_TOA_16,r_TOA_17,r_TOA_18,r_TOA_19,r_TOA_20,r_TOA_21,r_TOA_S1,r_TOA_S5,r_TOA_S5_rc
Swiss Camp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crawford Pt. 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NASA-U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GITS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Humboldt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Summit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tunu-N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DYE-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAR1,-60.593136,8.682254,175.31406,,56.3483,0.4241,0.4198,0.4141,0.4033,0.39,0.3522,0.326,0.3242,0.3233,0.322,0.3047,0.2639,0.0787,0.1389,0.2257,0.2333,0.187,0.1603,0.1222,0.0564,0.0737,0.3932,0.0121,0.013552
Saddle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Dome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NASA-E,113.464874,24.996506,169.10797,,62.010483,0.9819,0.9831,0.9844,0.9728,0.9502,0.8886,0.8811,0.9278,0.9353,0.9385,0.9277,0.9372,0.2647,0.4599,0.8244,0.9149,0.8938,0.8718,0.7134,0.413,0.7234,0.8713,0.0763,0.085456006
NGRIP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NASA-SE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAR2,-60.91696,8.029774,174.89577,,56.28518,0.6161,0.6209,0.6307,0.6362,0.6203,0.572,0.5322,0.5299,0.5282,0.526,0.4891,0.4328,0.1074,0.1896,0.3514,0.3883,0.3204,0.2761,0.1997,0.0799,0.1081,0.6105,0.0107,0.011984001
JAR3,-61.147808,7.4398465,174.60065,,56.270695,0.5703,0.5786,0.5983,0.615,0.6036,0.5628,0.5312,0.537,0.5373,0.5361,0.5041,0.4618,0.1108,0.1993,0.3773,0.4202,0.361,0.3209,0.2283,0.0908,0.1495,0.5539,0.0139,0.015567999
Petermann Gl.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Petermann ELA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEEM,117.021164,26.053572,173.65556,,64.312904,0.7727,0.7559,0.7138,0.6569,0.6235,0.5511,0.5183,0.5357,0.538,0.5383,0.5215,0.521,0.1347,0.2447,0.4535,0.5079,0.4838,0.4691,0.369,0.188,0.3995,0.5685,0.0498,0.055776
KPC_L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KPC_U,117.25087,32.902996,174.32263,,66.65376,0.7249,0.7213,0.7068,0.681,0.6548,0.5895,0.5495,0.5565,0.5587,0.5579,0.5217,0.5025,0.108,0.2121,0.4257,0.4675,0.4166,0.3793,0.2592,0.0907,0.2196,0.6005,0.0093,0.010416
SCO_L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCO_U,116.442566,10.378797,172.1017,,59.30971,0.5004,0.5003,0.5023,0.5024,0.4927,0.4623,0.4527,0.476,0.479,0.4815,0.4709,0.4559,0.1182,0.2109,0.3876,0.4285,0.3833,0.3471,0.2532,0.1037,0.1865,0.4439,0.0065,0.00728
MIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAS_L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAS_U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAS_A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QAS_L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QAS_M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QAS_U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NUK_L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NUK_U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NUK_N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NUK_K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KAN_B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KAN_L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KAN_M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KAN_U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UPE_L,114.69985,16.285421,170.11322,,59.91441,0.6313,0.6344,0.6352,0.6279,0.6097,0.5586,0.5155,0.5086,0.5085,0.5035,0.4586,0.4116,0.099,0.1901,0.3468,0.3704,0.3073,0.2685,0.1778,0.0556,0.1188,0.6061,0.0132,0.014784
UPE_U,115.37137,14.654163,170.91109,,59.868458,0.6438,0.6453,0.645,0.639,0.6212,0.5686,0.5336,0.5385,0.5404,0.5386,0.5044,0.4602,0.1171,0.2189,0.3899,0.4175,0.3524,0.3117,0.2181,0.0808,0.1412,0.5848,0.0063,0.007056
THU_L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THU_U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EGP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THU_U2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
