,OAA,OZA,SAA,SCDA_final,SZA,r_TOA_01,r_TOA_02,r_TOA_03,r_TOA_04,r_TOA_05,r_TOA_06,r_TOA_07,r_TOA_08,r_TOA_09,r_TOA_10,r_TOA_11,r_TOA_12,r_TOA_13,r_TOA_14,r_TOA_15,r_TOA_16,r_TOA_17,r_TOA_18,r_TOA_19,r_TOA_20,r_TOA_21,r_TOA_S1,r_TOA_S5,r_TOA_S5_rc
Swiss Camp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crawford Pt. 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NASA-U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GITS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Humboldt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Summit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tunu-N,122.545006,19.896784,179.60216,,62.940235,0.9439,0.9491,0.945,0.9342,0.9138,0.8468,0.8334,0.8757,0.8817,0.8816,0.879,0.8678,0.2572,0.4761,0.7873,0.8398,0.8068,0.7788,0.6863,0.4832,0.6081,0.8658,0.0451,0.050512
DYE-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAR1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saddle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Dome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NASA-E,-53.24072,1.3451797,-175.82365,,59.955116,0.9548,0.9534,0.9555,0.9475,0.9267,0.8657,0.8542,0.8997,0.906,0.9065,0.897,0.8982,0.2893,0.4979,0.8125,0.8771,0.8501,0.8263,0.6709,0.3743,0.6726,0.878,0.0779,0.087248
NGRIP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NASA-SE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAR2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAR3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Petermann Gl.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Petermann ELA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KPC_L,131.84572,16.856766,-169.99283,,64.97408,0.3206,0.3097,0.2841,0.2542,0.241,0.2147,0.2082,0.2156,0.2158,0.2165,0.2129,0.2164,0.0523,0.1025,0.1907,0.2133,0.2114,0.2076,0.1553,0.0693,0.1997,0.4761,0.0244,0.027328
KPC_U,130.78181,17.668722,-171.15874,,64.87117,0.763,0.764,0.7666,0.7594,0.7409,0.6861,0.6702,0.7093,0.7141,0.7176,0.6982,0.7011,0.1708,0.3357,0.6198,0.683,0.6643,0.6432,0.4926,0.2348,0.5326,0.6996,0.0369,0.041327998
SCO_L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCO_U,-50.466248,20.22747,-172.43015,,57.446796,0.4863,0.4875,0.4938,0.4989,0.4904,0.463,0.4558,0.4817,0.4858,0.4877,0.4724,0.4618,0.1171,0.2165,0.3948,0.4331,0.3872,0.3512,0.2492,0.0954,0.1984,0.4477,0.0071,0.007952
MIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAS_L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAS_U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAS_A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QAS_L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QAS_M,-67.26332,13.295041,163.97441,,46.830833,0.3923,0.388,0.3806,0.3709,0.3597,0.3327,0.3192,0.323,0.3229,0.3217,0.3068,0.2922,0.0831,0.1504,0.2549,0.2702,0.2377,0.2136,0.1466,0.0514,0.1048,0.3257,0.0058,0.006496
QAS_U,-67.25848,13.090223,164.00485,,46.904472,0.7081,0.7146,0.7336,0.7485,0.7385,0.7115,0.7276,0.7569,0.7598,0.7591,0.7363,0.7205,0.2116,0.3819,0.6407,0.686,0.6335,0.5876,0.416,0.1519,0.3527,0.6781,0.0123,0.013776
NUK_L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NUK_U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NUK_N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NUK_K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KAN_B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KAN_L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KAN_M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KAN_U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UPE_L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UPE_U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THU_L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THU_U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EGP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THU_U2,114.344406,27.182943,170.0248,,61.516136,0.6485,0.6362,0.6037,0.5581,0.5306,0.4693,0.4375,0.4501,0.4522,0.4507,0.429,0.4316,0.0935,0.1742,0.3637,0.4197,0.4025,0.3925,0.2816,0.1108,0.3736,0.4638,0.1561,0.174832
