 Year Day Hour 100m 200m 300m 400m 500m 600m 700m 800m 900m 1000m 1100m 1200m 1300m 1400m 1500m 1600m 1700m 1800m 1900m 2000m
2021 213   0  1.06  0.86  0.69  0.52  0.35  0.18  0.01  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00
2021 213   1  0.84  0.64  0.44  0.26  0.08  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00
2021 213   2  0.98  0.77  0.58  0.39  0.21  0.03  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00
2021 213   3  1.13  0.88  0.65  0.43  0.22  0.02  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00
2021 213   4  1.61  1.27  0.95  0.65  0.38  0.12  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00
2021 213   5  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00
2021 213   6  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00
2021 213   7  0.00  0.00  0.00  0.00  0.00  0.01  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00
2021 213   8  0.68  0.70  0.71  0.73  0.70  0.66  0.62  0.52  0.38  0.24  0.10  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00
2021 213   9  1.82  1.81  1.75  1.71  1.60  1.50  1.43  1.31  1.16  1.02  0.91  0.66  0.26  0.00  0.00  0.00  0.00  0.00  0.00  0.00
