 Year Day Hour 100m 200m 300m 400m 500m 600m 700m 800m 900m 1000m 1100m 1200m 1300m 1400m 1500m 1600m 1700m 1800m 1900m 2000m
2021 213   0   0.00   0.00   0.00   0.00   0.00   0.00   0.00  -0.77  -1.60  -2.42  -3.20  -4.04  -4.84  -5.35  -5.76  -7.70  -8.07  -8.40  -8.71  -8.98
2021 213   1   0.00   0.00   0.00   0.00   0.00  -0.55  -1.58  -2.76  -3.91  -5.02  -6.07  -7.09  -7.71  -7.48  -7.13  -9.28  -8.98  -8.75  -8.57  -8.52
2021 213   2   0.00   0.00   0.00   0.00   0.00   0.00  -0.72  -1.73  -2.79  -3.90  -5.04  -6.15  -6.78  -6.39  -6.07  -8.32  -8.16  -8.14  -8.22  -8.39
2021 213   3   0.00   0.00   0.00   0.00   0.00   0.00  -0.91  -2.09  -3.38  -4.69  -5.94  -7.09  -7.68  -7.02  -6.33  -8.40  -8.05  -7.93  -7.95  -8.11
2021 213   4   0.00   0.00   0.00   0.00   0.00   0.00  -0.61  -1.92  -3.36  -4.90  -6.33  -7.60  -8.16  -7.05  -6.10  -7.93  -7.56  -7.45  -7.49  -7.64
2021 213   5  -1.37  -1.35  -1.21  -1.02  -0.82  -0.79  -1.00  -1.41  -1.88  -2.42  -2.98  -3.55  -4.05  -4.35  -4.70  -6.72  -7.09  -7.50  -7.93  -8.38
2021 213   6  -1.50  -1.43  -1.27  -1.11  -0.98  -0.99  -1.19  -1.57  -2.00  -2.48  -2.95  -3.48  -3.96  -4.30  -4.67  -6.44  -6.84  -7.27  -7.72  -8.17
2021 213   7  -1.44  -1.21  -0.90  -0.45  -0.10   0.00   0.00  -0.25  -0.60  -0.94  -1.27  -1.74  -2.34  -2.99  -3.57  -4.74  -5.36  -5.95  -6.54  -7.05
2021 213   8   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00  -0.32  -1.07  -1.85  -2.48  -2.89  -3.55  -4.13  -4.72  -5.13
2021 213   9   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00  -0.46  -1.29  -1.08  -1.94  -2.66  -3.36  -3.79
2021 213  10   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00  -0.63  -1.36  -1.73
2021 213  11   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
2021 213  12   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
2021 213  13   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
2021 213  14   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
2021 213  15   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
2021 213  16   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
2021 213  17   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
2021 213  18   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
